title,director,ratings
恋恋笔记本,尼克·卡索维茨 Nick Cassavetes,723553
罗生门,黑泽明 Akira Kurosawa,343028
千钧一发,安德鲁·尼科尔 Andrew Niccol,330855
大红灯笼高高挂,张艺谋 Yimou Zhang,338194
彗星来的那一夜,詹姆斯·沃德·布柯特 James Ward Byrkit,648612
海边的曼彻斯特,肯尼斯·罗纳根 Kenneth Lonergan,616564
哈利·波特与凤凰社,大卫·叶茨 David Yates,658215
黑客帝国2：重装上阵,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,437840
火星救援,雷德利·斯科特 Ridley Scott,798207
萤火虫之墓,高畑勋 Isao Takahata,427380
奇迹男孩,斯蒂芬·卓博斯基 Stephen Chbosky,584111
战争之王,安德鲁·尼科尔 Andrew Niccol,399727
步履不停,是枝裕和 Hirokazu Koreeda,308019
千年女优,今敏 Satoshi Kon,301982
血钻,爱德华·兹威克 Edward Zwick,408209
谍影重重2,保罗·格林格拉斯 Paul Greengrass,382265
蜘蛛侠：平行宇宙,鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey,727878
魂断蓝桥,茂文·勒鲁瓦 Mervyn LeRoy,299742
房间,伦尼·阿伯拉罕森 Lenny Abrahamson,389942
弱点,约翰·李·汉考克 John Lee Hancock,342358
谍影重重,道格·里曼 Doug Liman,465611
隐藏人物,特奥多尔·梅尔菲 Theodore Melfi,252201
冰雪奇缘,克里斯·巴克 Chris Buck / 珍妮弗·李 Jennifer Lee,769429
哪吒之魔童降世,饺子 Yu Yang,2006533
朗读者,史蒂芬·戴德利 Stephen Daldry,477681
