Column1,Column2,Column3
title,director,ratings
肖申克的救赎,弗兰克·德拉邦特 Frank Darabont,3137582
霸王别姬,陈凯歌 Kaige Chen,2314930
泰坦尼克号,詹姆斯·卡梅隆 James Cameron,2378031
阿甘正传,罗伯特·泽米吉斯 Robert Zemeckis,2332817
千与千寻,宫崎骏 Hayao Miyazaki,2423937
美丽人生,罗伯托·贝尼尼 Roberto Benigni,1423045
这个杀手不太冷,吕克·贝松 Luc Besson,2465636
星际穿越,克里斯托弗·诺兰 Christopher Nolan,2052637
盗梦空间,克里斯托弗·诺兰 Christopher Nolan,2228955
楚门的世界,彼得·威尔 Peter Weir,1907847
辛德勒的名单,史蒂文·斯皮尔伯格 Steven Spielberg,1201968
忠犬八公的故事,莱塞·霍尔斯道姆 Lasse Hallstr?m,1488190
海上钢琴师,朱塞佩·托纳多雷 Giuseppe Tornatore,1808085
三傻大闹宝莱坞,拉库马·希拉尼 Rajkumar Hirani,1995272
放牛班的春天,克里斯托夫·巴拉蒂 Christophe Barratier,1415455
机器人总动员,安德鲁·斯坦顿 Andrew Stanton,1422031
疯狂动物城,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,2138665
无间道,刘伟强 / 麦兆辉,1491871
控方证人,比利·怀尔德 Billy Wilder,657564
大话西游之大圣娶亲,刘镇伟 Jeffrey Lau,1644728
熔炉,黄东赫 Dong-hyuk Hwang,999694
触不可及,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,1230483
教父,弗朗西斯·福特·科波拉 Francis Ford Coppola,1053868
寻梦环游记,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,1862733
当幸福来敲门,加布里尔·穆奇诺 Gabriele Muccino,1627079
title,director,ratings
末代皇帝,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,976657
龙猫,宫崎骏 Hayao Miyazaki,1358639
哈利·波特与魔法石,Chris Columbus,1344434
怦然心动,罗伯·莱纳 Rob Reiner,1971351
活着,张艺谋 Yimou Zhang,926415
蝙蝠侠：黑暗骑士,克里斯托弗·诺兰 Christopher Nolan,1146213
指环王3：王者无敌,彼得·杰克逊 Peter Jackson,871305
我不是药神,文牧野 Muye Wen,2265365
乱世佳人,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,752669
飞屋环游记,彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,1434125
让子弹飞,姜文 Wen Jiang,1842328
哈尔的移动城堡,宫崎骏 Hayao Miyazaki,1214579
素媛,李濬益 Jun-ik Lee,744959
十二怒汉,Sidney Lumet,546941
海蒂和爷爷,阿兰·葛斯彭纳 Alain Gsponer,719760
猫鼠游戏,史蒂文·斯皮尔伯格 Steven Spielberg,1142731
天空之城,宫崎骏 Hayao Miyazaki,963630
摔跤吧！爸爸,涅提·蒂瓦里 Nitesh Tiwari,1680648
鬼子来了,姜文 Wen Jiang,682375
少年派的奇幻漂流,李安 Ang Lee,1439051
钢琴家,罗曼·波兰斯基 Roman Polanski,710395
指环王2：双塔奇兵,彼得·杰克逊 Peter Jackson,819548
大话西游之月光宝盒,刘镇伟 Jeffrey Lau,1310646
死亡诗社,彼得·威尔 Peter Weir,822192
何以为家,娜丁·拉巴基 Nadine Labaki,1124287
title,director,ratings
闻香识女人,马丁·布莱斯 Martin Brest,975980
绿皮书,彼得·法雷里 Peter Farrelly,1803183
大闹天宫,万籁鸣 Laiming Wan,484230
黑客帝国,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,906462
罗马假日,威廉·惠勒 William Wyler,1011300
指环王1：护戒使者,彼得·杰克逊 Peter Jackson,918852
教父2,弗朗西斯·福特·科波拉 Francis Ford Coppola,606316
天堂电影院,朱塞佩·托纳多雷 Giuseppe Tornatore,718312
狮子王,Roger Allers / 罗伯·明可夫 Rob Minkoff,919637
辩护人,杨宇硕 Woo-seok Yang,636660
饮食男女,李安 Ang Lee,682498
搏击俱乐部,大卫·芬奇 David Fincher,922567
本杰明·巴顿奇事,大卫·芬奇 David Fincher,1060919
美丽心灵,朗·霍华德 Ron Howard,825552
穿条纹睡衣的男孩,马克·赫尔曼 Mark Herman,616143
情书,岩井俊二 Shunji Iwai,1239885
窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck,609906
两杆大烟枪,盖·里奇 Guy Ritchie,647440
哈利·波特与死亡圣器(下),大卫·叶茨 David Yates,925521
音乐之声,罗伯特·怀斯 Robert Wise,654817
西西里的美丽传说,朱塞佩·托纳多雷 Giuseppe Tornatore,1053624
阿凡达,詹姆斯·卡梅隆 James Cameron,1518627
功夫,周星驰 Stephen Chow,1263973
看不见的客人,奥里奥尔·保罗 Oriol Paulo,1381967
哈利·波特与阿兹卡班的囚徒,阿方索·卡隆 Alfonso Cuarón,841900
title,director,ratings
拯救大兵瑞恩,史蒂文·斯皮尔伯格 Steven Spielberg,696716
小鞋子,马基德·马基迪 Majid Majidi,444790
沉默的羔羊,乔纳森·戴米 Jonathan Demme,972247
飞越疯人院,米洛斯·福尔曼 Milo? Forman,583487
布达佩斯大饭店,韦斯·安德森 Wes Anderson,1034225
蝴蝶效应,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,1020368
禁闭岛,Martin Scorsese,1064846
致命魔术,克里斯托弗·诺兰 Christopher Nolan,928404
心灵捕手,格斯·范·桑特 Gus Van Sant,783243
低俗小说,昆汀·塔伦蒂诺 Quentin Tarantino,914477
超脱,托尼·凯耶 Tony Kaye,682700
摩登时代,查理·卓别林 Charles Chaplin,330306
哈利·波特与密室,Chris Columbus,867455
喜剧之王,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,1046482
